window_key,window,referent,comparison_key,comparison,contrast_coding,term,estimate,ci_95_lower,ci_95_upper,p_beta_gt_0,n_bin_rows,n_trials_with_gaze,n_positive_trials,n_negative_trials
linguistic_encoding_1,Linguistic encoding I,patient,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,contrast,0.7659052434283894,-0.42005550494096877,1.93579527543591,0.8994,7442,347,184,163
linguistic_encoding_1,Linguistic encoding I,patient,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time:contrast,0.27235738280627925,-0.2663972159923733,0.8047126510241205,0.8388,7442,347,184,163
linguistic_encoding_1,Linguistic encoding I,patient,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time2:contrast,-3.213933829216532,-4.047473568080372,-2.3750609550087876,0.0,7442,347,184,163
linguistic_encoding_1,Linguistic encoding I,patient,inverse_2_1_vs_inverse_2_2,Inverse 2 agents/1 patient vs inverse 2 agents/2 patients,+1 inverse 2-1; -1 inverse 2-2,time3:contrast,0.456496548696034,-2.613514329392913,3.5022671526598246,0.61455,7442,347,184,163
linguistic_encoding_1,Linguistic encoding I,agent,direct_animate_vs_inanimate,Direct animate patient vs direct inanimate patient,+1 direct animate; -1 direct inanimate,contrast,-0.05688469641880389,-1.2300015172066088,1.1165298516138331,0.4621,9657,470,240,230
linguistic_encoding_1,Linguistic encoding I,agent,direct_animate_vs_inanimate,Direct animate patient vs direct inanimate patient,+1 direct animate; -1 direct inanimate,time:contrast,-0.9117216333998948,-1.3806411801197,-0.44394743964630445,5e-05,9657,470,240,230
linguistic_encoding_1,Linguistic encoding I,agent,direct_animate_vs_inanimate,Direct animate patient vs direct inanimate patient,+1 direct animate; -1 direct inanimate,time2:contrast,0.20008342634529683,-0.5091134672639089,0.9164220959679882,0.7072,9657,470,240,230
linguistic_encoding_1,Linguistic encoding I,agent,direct_animate_vs_inanimate,Direct animate patient vs direct inanimate patient,+1 direct animate; -1 direct inanimate,time3:contrast,2.8748370213200096,0.18382415168411984,5.555801134255078,0.9826,9657,470,240,230
linguistic_encoding_1,Linguistic encoding I,patient,direct_animate_vs_inanimate,Direct animate patient vs direct inanimate patient,+1 direct animate; -1 direct inanimate,contrast,-0.4410286292131637,-1.4692080889398993,0.5959588371521339,0.2018,9657,470,240,230
linguistic_encoding_1,Linguistic encoding I,patient,direct_animate_vs_inanimate,Direct animate patient vs direct inanimate patient,+1 direct animate; -1 direct inanimate,time:contrast,0.29619171504086406,-0.1747678316225939,0.7636799536010065,0.89065,9657,470,240,230
linguistic_encoding_1,Linguistic encoding I,patient,direct_animate_vs_inanimate,Direct animate patient vs direct inanimate patient,+1 direct animate; -1 direct inanimate,time2:contrast,0.00043691170243975285,-0.7016756617708381,0.7162768571967811,0.49685,9657,470,240,230
linguistic_encoding_1,Linguistic encoding I,patient,direct_animate_vs_inanimate,Direct animate patient vs direct inanimate patient,+1 direct animate; -1 direct inanimate,time3:contrast,-1.285032528454302,-4.000470670777913,1.436887897310319,0.17315,9657,470,240,230
linguistic_encoding_1,Linguistic encoding I,agent,inverse_animate_vs_inanimate,Inverse animate patient vs inverse inanimate patient,+1 inverse animate; -1 inverse inanimate,contrast,0.275801846730621,-1.0487663931449895,1.5919882514291306,0.65995,7708,360,186,174
linguistic_encoding_1,Linguistic encoding I,agent,inverse_animate_vs_inanimate,Inverse animate patient vs inverse inanimate patient,+1 inverse animate; -1 inverse inanimate,time:contrast,-2.0296900320460076,-2.551251761869309,-1.516356781306619,0.0,7708,360,186,174
linguistic_encoding_1,Linguistic encoding I,agent,inverse_animate_vs_inanimate,Inverse animate patient vs inverse inanimate patient,+1 inverse animate; -1 inverse inanimate,time2:contrast,-0.7868861470508216,-1.5689906011729262,0.0005204120166146753,0.02515,7708,360,186,174
linguistic_encoding_1,Linguistic encoding I,agent,inverse_animate_vs_inanimate,Inverse animate patient vs inverse inanimate patient,+1 inverse animate; -1 inverse inanimate,time3:contrast,7.279226172108136,4.340045661345706,10.246415554439734,1.0,7708,360,186,174
linguistic_encoding_1,Linguistic encoding I,patient,inverse_animate_vs_inanimate,Inverse animate patient vs inverse inanimate patient,+1 inverse animate; -1 inverse inanimate,contrast,-0.48927552326051416,-1.6015602054243596,0.629992752273362,0.19815,7708,360,186,174
linguistic_encoding_1,Linguistic encoding I,patient,inverse_animate_vs_inanimate,Inverse animate patient vs inverse inanimate patient,+1 inverse animate; -1 inverse inanimate,time:contrast,2.3208674366149973,1.7908618269868612,2.8510358700681144,1.0,7708,360,186,174
linguistic_encoding_1,Linguistic encoding I,patient,inverse_animate_vs_inanimate,Inverse animate patient vs inverse inanimate patient,+1 inverse animate; -1 inverse inanimate,time2:contrast,2.1719942131373022,1.3537448037973194,2.987416088588206,1.0,7708,360,186,174
linguistic_encoding_1,Linguistic encoding I,patient,inverse_animate_vs_inanimate,Inverse animate patient vs inverse inanimate patient,+1 inverse animate; -1 inverse inanimate,time3:contrast,-8.286305181819113,-11.377868734236005,-5.251197515408377,0.0,7708,360,186,174
linguistic_encoding_2,Linguistic encoding II,agent,all_direct_vs_all_inverse,All direct vs all inverse,+1 direct; -1 inverse,contrast,0.05875198881373534,-0.06950793698376434,0.18654255956755475,0.817,17359,830,470,360
linguistic_encoding_2,Linguistic encoding II,agent,all_direct_vs_all_inverse,All direct vs all inverse,+1 direct; -1 inverse,time:contrast,-0.43493727693769324,-0.7759969626202761,-0.10029427236414402,0.00555,17359,830,470,360
linguistic_encoding_2,Linguistic encoding II,agent,all_direct_vs_all_inverse,All direct vs all inverse,+1 direct; -1 inverse,time2:contrast,-0.13684482099299863,-0.6580436690933048,0.3937033523732298,0.3055,17359,830,470,360
linguistic_encoding_2,Linguistic encoding II,agent,all_direct_vs_all_inverse,All direct vs all inverse,+1 direct; -1 inverse,time3:contrast,1.3827900751824316,-0.5478915516718331,3.3241689793066054,0.91935,17359,830,470,360
linguistic_encoding_2,Linguistic encoding II,patient,all_direct_vs_all_inverse,All direct vs all inverse,+1 direct; -1 inverse,contrast,0.2831028648537885,0.15716625013310853,0.40958134645402217,1.0,17359,830,470,360
linguistic_encoding_2,Linguistic encoding II,patient,all_direct_vs_all_inverse,All direct vs all inverse,+1 direct; -1 inverse,time:contrast,0.5846489538976404,0.2368132953764078,0.9308837397122738,0.99955,17359,830,470,360
linguistic_encoding_2,Linguistic encoding II,patient,all_direct_vs_all_inverse,All direct vs all inverse,+1 direct; -1 inverse,time2:contrast,-0.9823250558111402,-1.5151661571316644,-0.45748829540882696,0.0001,17359,830,470,360
linguistic_encoding_2,Linguistic encoding II,patient,all_direct_vs_all_inverse,All direct vs all inverse,+1 direct; -1 inverse,time3:contrast,-2.445011375667186,-4.429561296329846,-0.4381034887659326,0.0081,17359,830,470,360
linguistic_encoding_2,Linguistic encoding II,agent,direct_1_1_vs_direct_1_2,Direct 1 agent/1 patient vs direct 1 agent/2 patients,+1 direct 1-1; -1 direct 1-2,contrast,0.40685381137951865,-0.9642357285991278,1.7916607851684785,0.71795,8030,392,194,198
linguistic_encoding_2,Linguistic encoding II,agent,direct_1_1_vs_direct_1_2,Direct 1 agent/1 patient vs direct 1 agent/2 patients,+1 direct 1-1; -1 direct 1-2,time:contrast,0.07609963788110734,-0.4262598865936118,0.5737225580845342,0.61915,8030,392,194,198
linguistic_encoding_2,Linguistic encoding II,agent,direct_1_1_vs_direct_1_2,Direct 1 agent/1 patient vs direct 1 agent/2 patients,+1 direct 1-1; -1 direct 1-2,time2:contrast,0.19530561137459318,-0.5720022381383288,0.9500882091560202,0.6945,8030,392,194,198
linguistic_encoding_2,Linguistic encoding II,agent,direct_1_1_vs_direct_1_2,Direct 1 agent/1 patient vs direct 1 agent/2 patients,+1 direct 1-1; -1 direct 1-2,time3:contrast,-2.4338092942487477,-5.268265600461474,0.3848546143416281,0.044,8030,392,194,198
