participant,item,type,condition,word_order,sol,reaches_3500ms,last_available_sample_ms_1based,n_extracted_samples
IEM_a1,9,act,none,APV,3144.000000,no,3145,3145
IEM_a2,1,pass,P,PAV,2430.000000,no,2431,2431
IEM_a2,10,act,P,APV,2394.000000,no,2395,2395
IEM_a2,11,act,none,APV,2050.000000,no,2051,2051
IEM_a2,12,act,A,APV,3360.000000,no,3361,3361
IEM_a2,13,pass,P,PAV,2968.000000,no,2969,2969
IEM_a2,16,act,P,P-APV,2013.000000,no,2014,2014
IEM_a2,17,pass,none,PVA,3889.000000,yes,3500,3500
IEM_a2,18,act,A,APV,4486.000000,yes,3500,3500
IEM_a2,19,pass,P,PAV,2749.000000,no,2750,2750
IEM_a2,2,act,none,APV,3458.000000,no,3459,3459
IEM_a2,20,act,none,APV,3801.000000,yes,3500,3500
IEM_a2,21,act,A,APV,2650.000000,no,2651,2651
IEM_a2,22,pass,P,PAV,2716.000000,no,2717,2717
IEM_a2,23,act,none,APV,3878.000000,yes,3500,3500
IEM_a2,24,act,A,APV,1867.000000,no,1868,1868
IEM_a2,3,act,A,APV,2219.000000,no,2220,2220
IEM_a2,5,act,none,APV,2646.000000,no,2647,2647
IEM_a2,8,act,none,APV,2287.000000,no,2288,2288
IEM_a2,9,act,A,PV,2383.000000,no,2384,2384
IEM_b3,1,act,none,APV,1349.000000,no,1350,1350
IEM_b3,10,act,none,APV,3594.000000,yes,3500,3500
IEM_b3,12,act,P,APV,2840.000000,no,2841,2841
IEM_b3,13,act,none,APV,3136.000000,no,3137,3137
IEM_b3,14,act,A,APV,2626.000000,no,2627,2627
IEM_b3,15,pass,P,PAV,3484.000000,no,3485,3485
IEM_b3,16,act,none,APV,3056.000000,no,3057,3057
IEM_b3,17,act,A,APV,2483.000000,no,2484,2484
IEM_b3,18,pass,P,PAV,3821.000000,yes,3500,3500
IEM_b3,19,act,none,APV,3429.000000,no,3430,3430
IEM_b3,2,act,A,APV,2640.000000,no,2641,2641
IEM_b3,20,act,A,APV,4405.000000,yes,3500,3500
IEM_b3,21,pass,P,A-PAV,1884.000000,no,1885,1885
IEM_b3,22,act,none,APV,3001.000000,no,3002,3002
IEM_b3,24,pass,P,PAV,2802.000000,no,2803,2803
IEM_b3,5,act,A,APV,2071.000000,no,2072,2072
IEM_b3,6,pass,P,PVA,4730.000000,yes,3500,3500
IEM_b3,7,act,none,APV,1893.000000,no,1894,1894
IEM_b3,9,pass,P,AVP,1792.000000,no,1793,1793
IMI_a3,1,act,none,APV,2445.000000,no,2446,2446
IMI_a3,10,act,none,APV,4311.000000,yes,3500,3500
IMI_a3,11,act,A,AVP,2508.000000,no,2509,2509
IMI_a3,12,act,P,APV,4011.000000,yes,3500,3500
IMI_a3,13,act,none,APV,3495.000000,no,3496,3496
IMI_a3,14,act,A,APV,2258.000000,no,2259,2259
IMI_a3,15,pass,P,PAV,1897.000000,no,1898,1898
IMI_a3,17,act,A,APV,4333.000000,yes,3500,3500
IMI_a3,18,pass,P,PAV,3564.000000,yes,3500,3500
IMI_a3,19,act,none,APV,3270.000000,no,3271,3271
IMI_a3,2,act,A,AVP,3772.000000,yes,3500,3500
IMI_a3,20,act,A,APV,3611.000000,yes,3500,3500
IMI_a3,21,pass,P,PAV,2059.000000,no,2060,2060
IMI_a3,22,act,none,APV,1780.000000,no,1781,1781
IMI_a3,24,pass,P,PAV,3351.000000,no,3352,3352
IMI_a3,3,act,P,APV,1954.000000,no,1955,1955
IMI_a3,4,act,none,APV,3636.000000,yes,3500,3500
IMI_a3,5,act,A,APV,1713.000000,no,1714,1714
IMI_a3,6,act,P,APV,2257.000000,no,2258,2258
IMI_a3,7,act,none,APV,3022.000000,no,3023,3023
IMI_a3,8,act,A,APV,2176.000000,no,2177,2177
IMI_a3,9,act,P,APV,2328.000000,no,2329,2329
IMI_b1,1,act,A,APV,2172.000000,no,2173,2173
IMI_b1,10,act,A,APV,4575.000000,yes,3500,3500
IMI_b1,11,pass,P,PAV,2423.000000,no,2424,2424
IMI_b1,12,act,none,APV,4349.000000,yes,3500,3500
IMI_b1,13,act,A,APV,2482.000000,no,2483,2483
IMI_b1,14,pass,P,PAV,1754.000000,no,1755,1755
IMI_b1,15,act,none,APV,3813.000000,yes,3500,3500
IMI_b1,16,act,A,APV,2396.000000,no,2397,2397
IMI_b1,17,pass,P,PAV,2769.000000,no,2770,2770
IMI_b1,18,act,none,APV,3750.000000,yes,3500,3500
IMI_b1,19,act,A,APV,2009.000000,no,2010,2010
IMI_b1,2,pass,P,PAV,2851.000000,no,2852,2852
IMI_b1,20,pass,P,PAV,1789.000000,no,1790,1790
IMI_b1,21,act,none,APV,3892.000000,yes,3500,3500
IMI_b1,22,act,A,APV,3556.000000,yes,3500,3500
IMI_b1,23,pass,P,PAV,2872.000000,no,2873,2873
IMI_b1,24,act,none,APV,4512.000000,yes,3500,3500
IMI_b1,3,act,none,APV,2681.000000,no,2682,2682
IMI_b1,4,act,A,APV,2676.000000,no,2677,2677
IMI_b1,5,pass,P,A-PAV,3747.000000,yes,3500,3500
IMI_b1,6,act,none,APV,3592.000000,yes,3500,3500
IMI_b1,7,act,A,APV,3033.000000,no,3034,3034
IMI_b1,9,act,none,APV,2764.000000,no,2765,2765
IMI_b2,1,pass,P,AV,1714.000000,no,1715,1715
IMI_b2,10,pass,P,AV,2036.000000,no,2037,2037
IMI_b2,12,act,A,APV,4871.000000,yes,3500,3500
IMI_b2,13,act,P,APV,1924.000000,no,1925,1925
IMI_b2,14,act,none,APV,1759.000000,no,1760,1760
IMI_b2,15,act,A,APV,1977.000000,no,1978,1978
IMI_b2,16,act,P,APV,2647.000000,no,2648,2648
IMI_b2,17,act,none,APV,2180.000000,no,2181,2181
IMI_b2,18,act,A,APV,4237.000000,yes,3500,3500
IMI_b2,19,pass,P,PAV,5926.000000,yes,3500,3500
IMI_b2,2,act,none,APV,3069.000000,no,3070,3070
IMI_b2,20,act,none,APV,2640.000000,no,2641,2641
IMI_b2,21,act,A,APV,1736.000000,no,1737,1737
IMI_b2,22,pass,P,AV,2684.000000,no,2685,2685
IMI_b2,23,act,none,APV,2984.000000,no,2985,2985
IMI_b2,24,act,A,PV,2143.000000,no,2144,2144
IMI_b2,3,act,A,PV,2267.000000,no,2268,2268
IMI_b2,5,act,none,APV,2144.000000,no,2145,2145
IMI_b2,6,act,A,PV,1736.000000,no,1737,1737
IMI_b2,7,act,P,APV,3440.000000,no,3441,3441
IMI_b2,8,act,none,APV,2721.000000,no,2722,2722
IMI_b2,9,act,A,PV,2395.000000,no,2396,2396
KSM_a1,13,act,A,PV,2207.000000,no,2208,2208
KSM_a1,15,pass,none,AV,3718.000000,yes,3500,3500
KSM_a1,18,act,none,APV,2721.000000,no,2722,2722
KSM_a1,19,act,A,APV,2821.000000,no,2822,2822
KSM_a1,2,pass,P,AV,3888.000000,yes,3500,3500
KSM_a1,21,act,none,APV,3371.000000,no,3372,3372
KSM_a1,5,pass,P,AV,2915.000000,no,2916,2916
KSM_a1,6,act,none,APV,4117.000000,yes,3500,3500
KSM_b2,1,pass,P,AV,2085.000000,no,2086,2086
KSM_b2,10,pass,P,AV,2704.000000,no,2705,2705
KSM_b2,13,pass,P,APV,1763.000000,no,1764,1764
KSM_b2,15,act,A,PV,3350.000000,no,3351,3351
KSM_b2,17,act,none,APV,2114.000000,no,2115,2115
KSM_b2,18,act,A,APV,3346.000000,no,3347,3347
KSM_b2,19,act,P,APV,2956.000000,no,2957,2957
KSM_b2,2,act,none,APV,2047.000000,no,2048,2048
KSM_b2,24,act,A,PV,2132.000000,no,2133,2133
KSM_b2,6,act,A,APV,1960.000000,no,1961,1961
KSM_b2,9,act,A,APV,2569.000000,no,2570,2570
PRM_a1,1,act,A,PV,1355.000000,no,1356,1356
PRM_a1,10,act,A,PV,3598.000000,yes,3500,3500
PRM_a1,13,act,A,PV,1857.000000,no,1858,1858
PRM_a1,14,pass,P,AV,2843.000000,no,2844,2844
PRM_a1,15,act,none,APV,2408.000000,no,2409,2409
PRM_a1,17,pass,P,AV,2111.000000,no,2112,2112
PRM_a1,18,act,none,APV,3503.000000,yes,3500,3500
PRM_a1,19,act,A,PV,1900.000000,no,1901,1901
PRM_a1,2,pass,P,AV,2931.000000,no,2932,2932
PRM_a1,20,pass,P,AV,1830.000000,no,1831,1831
PRM_a1,22,act,A,PV,4418.000000,yes,3500,3500
PRM_a1,23,pass,P,AV,2524.000000,no,2525,2525
PRM_a1,24,act,none,APV,1725.000000,no,1726,1726
PRM_a1,3,act,none,PV,1125.000000,no,1126,1126
PRM_a1,4,act,A,PV,3868.000000,yes,3500,3500
PRM_a1,5,pass,P,AV,1897.000000,no,1898,1898
PRM_a1,6,act,none,APV,1522.000000,no,1523,1523
PRM_a1,7,act,A,PV,2581.000000,no,2582,2582
