graph_id,referent,time_bin_start_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
act_all,patient,2400,0.398841,0.478513,414,0.351805,0.445876
act_all,patient,2450,0.406812,0.479634,414,0.359666,0.453957
act_all,patient,2500,0.423043,0.482415,414,0.375625,0.470462
act_all,patient,2550,0.435362,0.485164,414,0.387673,0.483051
act_all,patient,2600,0.461546,0.484314,414,0.413940,0.509151
act_all,patient,2650,0.456570,0.485356,414,0.408862,0.504278
act_all,patient,2700,0.453913,0.488993,414,0.405848,0.501978
act_all,patient,2750,0.458696,0.482868,414,0.411232,0.506159
act_all,patient,2800,0.445217,0.484017,414,0.397641,0.492794
act_all,patient,2850,0.445121,0.481522,414,0.397790,0.492452
act_all,patient,2900,0.466763,0.487882,414,0.418807,0.514719
act_all,patient,2950,0.485024,0.484694,414,0.437381,0.532667
act_all,patient,3000,0.501063,0.487097,414,0.453184,0.548942
act_all,patient,3050,0.495556,0.486184,414,0.447766,0.543345
act_all,patient,3100,0.506329,0.486284,414,0.458529,0.554128
act_all,patient,3150,0.498889,0.484942,414,0.451222,0.546556
act_all,patient,3200,0.479324,0.489913,414,0.431168,0.527480
act_all,patient,3250,0.475507,0.488231,414,0.427517,0.523498
act_all,patient,3300,0.493333,0.487248,414,0.445440,0.541227
act_all,patient,3350,0.494300,0.490531,414,0.446083,0.542516
act_all,patient,3400,0.500435,0.488564,414,0.452412,0.548458
act_all,patient,3450,0.504831,0.492672,414,0.456404,0.553258
act_all,patient,3500,0.507681,0.491262,414,0.459393,0.555970
act_all,patient,3550,0.498357,0.487312,414,0.450457,0.546258
act_all,patient,3600,0.483140,0.492006,414,0.434779,0.531502
act_all,patient,3650,0.452657,0.487095,414,0.404778,0.500536
act_all,patient,3700,0.457101,0.485175,414,0.409411,0.504792
act_all,patient,3750,0.483971,0.487824,413,0.435962,0.531979
act_all,patient,3800,0.519903,0.488057,412,0.471813,0.567993
act_all,patient,3850,0.525499,0.485061,411,0.477646,0.573351
act_all,patient,3900,0.515328,0.488168,411,0.467169,0.563488
act_all,patient,3950,0.497805,0.489612,410,0.449444,0.546165
act_all,patient,4000,0.486210,0.491021,409,0.437651,0.534769
act_all,patient,4050,0.485819,0.487525,409,0.437606,0.534032
act_greater_than_mean,agent,0,0.383771,0.470580,175,0.312626,0.454916
act_greater_than_mean,agent,50,0.403429,0.477072,175,0.331302,0.475555
act_greater_than_mean,agent,100,0.395086,0.480470,175,0.322445,0.467726
act_greater_than_mean,agent,150,0.390171,0.463931,175,0.320032,0.460311
act_greater_than_mean,agent,200,0.440229,0.457278,175,0.371095,0.509363
act_greater_than_mean,agent,250,0.460800,0.464250,175,0.390612,0.530988
act_greater_than_mean,agent,300,0.477714,0.472975,175,0.406207,0.549221
act_greater_than_mean,agent,350,0.473143,0.485513,175,0.399740,0.546546
act_greater_than_mean,agent,400,0.463771,0.480227,175,0.391168,0.536375
act_greater_than_mean,agent,450,0.472229,0.483330,175,0.399156,0.545301
act_greater_than_mean,agent,500,0.472571,0.489177,175,0.398615,0.546528
act_greater_than_mean,agent,550,0.494971,0.483638,175,0.421852,0.568091
act_greater_than_mean,agent,600,0.520800,0.486972,175,0.447177,0.594423
act_greater_than_mean,agent,650,0.536686,0.488314,175,0.462860,0.610512
act_greater_than_mean,agent,700,0.548457,0.485132,175,0.475112,0.621802
act_greater_than_mean,agent,750,0.591657,0.479469,175,0.519168,0.664146
act_greater_than_mean,agent,800,0.595771,0.481031,175,0.523046,0.668497
act_greater_than_mean,agent,850,0.611771,0.473758,175,0.540146,0.683397
act_greater_than_mean,agent,900,0.626857,0.473052,175,0.555338,0.698376
act_greater_than_mean,agent,950,0.608114,0.470442,175,0.536990,0.679238
act_greater_than_mean,agent,1000,0.608229,0.476188,175,0.536236,0.680221
act_greater_than_mean,agent,1050,0.593257,0.479001,175,0.520839,0.665675
act_greater_than_mean,agent,1100,0.589600,0.475553,175,0.517703,0.661497
act_greater_than_mean,agent,1150,0.579543,0.480785,175,0.506855,0.652231
act_greater_than_mean,agent,1200,0.553486,0.484843,175,0.480184,0.626787
act_greater_than_mean,agent,1250,0.523086,0.498413,175,0.447733,0.598439
act_greater_than_mean,agent,1300,0.512914,0.491379,175,0.438625,0.587204
act_greater_than_mean,agent,1350,0.506057,0.483842,175,0.432907,0.579207
act_greater_than_mean,agent,1400,0.500229,0.494233,175,0.425508,0.574950
act_greater_than_mean,agent,1450,0.490857,0.481185,175,0.418109,0.563605
act_greater_than_mean,agent,1500,0.503886,0.483463,175,0.430793,0.576978
act_greater_than_mean,agent,1550,0.518400,0.482648,175,0.445430,0.591370
act_greater_than_mean,agent,1600,0.524229,0.484256,175,0.451016,0.597441
act_greater_than_mean,agent,1650,0.548800,0.484246,175,0.475589,0.622011
act_greater_than_mean,agent,1700,0.560343,0.482986,175,0.487322,0.633364
act_greater_than_mean,agent,1750,0.561714,0.480540,175,0.489063,0.634365
act_greater_than_mean,agent,1800,0.562171,0.489999,175,0.488091,0.636252
act_greater_than_mean,agent,1850,0.551543,0.483376,175,0.478463,0.624622
act_greater_than_mean,agent,1900,0.545600,0.488985,175,0.471672,0.619528
act_greater_than_mean,agent,1950,0.551200,0.486397,175,0.477664,0.624736
act_greater_than_mean,agent,2000,0.541029,0.481994,175,0.468158,0.613899
act_greater_than_mean,agent,2050,0.535086,0.491931,175,0.460713,0.609459
act_greater_than_mean,agent,2100,0.512343,0.492839,175,0.437833,0.586853
act_greater_than_mean,agent,2150,0.530743,0.487663,175,0.457015,0.604471
