ppt_id,item ,cond,rep,type,wo,sol,ppt.no
RAI_b2,10,P,ok,pass,AV,1537,5
RAI_b2,11,none,ok,NA,NA,1525,5
RAI_b2,12,A,ok,act,APV,1896,5
RAI_b2,13,P,ok,pass,AV,1208,5
RAI_b2,14,none,ok,act,APV,2731,5
RAI_b2,15,A,ok,act,PV,2576,5
RAI_b2,16,P,ok,pass,AV,4318,5
RAI_b2,17,none,ok,act,APV,2884,5
RAI_b2,18,A,ok,act,PV,4431,5
RAI_b2,19,P,ok,pass,AV,2002,5
RAI_b2,20,none,ok,pass,PAV,3946,5
RAI_b2,21,A,ok,NA,NA,3327,5
RAI_b2,22,P,ok,pass,AV,1628,5
RAI_b2,23,none,ok,act,APV,2234,5
RAI_b2,24,A,ok,act,PV,1263,5
KSM_a1,1,A,ok,NA,NA,1690,6
KSM_a1,2,P,ok,pass,AV,3888,6
KSM_a1,3,none,ok,NA,NA,2416,6
KSM_a1,4,A,ok,NA,NA,4094,6
KSM_a1,5,P,ok,pass,AV,2915,6
KSM_a1,6,none,ok,act,APV,4117,6
KSM_a1,7,A,ok,NA,NA,3229,6
KSM_a1,8,P,ok,NA,NA,2739,6
KSM_a1,9,none,ok,NA,NA,3238,6
KSM_a1,10,A,ok,NA,NA,2176,6
KSM_a1,11,P,ok,NA,NA,3716,6
KSM_a1,12,none,ok,NA,NA,2176,6
KSM_a1,13,A,ok,act,PV,2207,6
KSM_a1,14,P,ok,NA,NA,3512,6
KSM_a1,15,none,ok,pass,AV,3718,6
KSM_a1,16,A,ok,NA,NA,3737,6
KSM_a1,17,P,ok,act,APV,8227,6
KSM_a1,18,none,ok,act,APV,2721,6
KSM_a1,19,A,ok,act,APV,2821,6
KSM_a1,20,P,ok,NA,NA,4524,6
KSM_a1,21,none,ok,act,APV,3371,6
KSM_a1,22,A,ok,NA,NA,4634,6
KSM_a1,23,P,ok,NA,NA,2276,6
KSM_a1,24,none,ok,NA,NA,3586,6
KSM_b2,1,P,ok,pass,AV,2085,6
KSM_b2,2,none,ok,act,APV,2047,6
