participant,referent,time_bin_start_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
SED,agent,950,0.738519,0.445384,27,0.567090,0.909947
SED,agent,1000,0.694074,0.447001,27,0.522023,0.866125
SED,agent,1050,0.666667,0.480384,27,0.481767,0.851567
SED,agent,1100,0.666667,0.475847,27,0.483513,0.849820
SED,agent,1150,0.661481,0.462965,27,0.483286,0.839677
SED,agent,1200,0.666667,0.480384,27,0.481767,0.851567
SED,agent,1250,0.688148,0.460243,27,0.511001,0.865296
SED,agent,1300,0.631852,0.468820,27,0.451403,0.812301
SED,agent,1350,0.605185,0.471123,27,0.423850,0.786520
SED,agent,1400,0.566667,0.496914,27,0.375405,0.757929
SED,agent,1450,0.525185,0.490325,27,0.336459,0.713911
SED,agent,1500,0.452593,0.500681,27,0.259880,0.645305
SED,agent,1550,0.440741,0.496340,27,0.249699,0.631782
SED,agent,1600,0.412593,0.497042,27,0.221281,0.603904
SED,agent,1650,0.398519,0.490743,27,0.209632,0.587406
SED,agent,1700,0.331852,0.462743,27,0.153742,0.509962
SED,agent,1750,0.320741,0.461852,27,0.142974,0.498508
SED,agent,1800,0.322222,0.467673,27,0.142215,0.502230
SED,agent,1850,0.297037,0.437395,27,0.128684,0.465390
SED,agent,1900,0.291111,0.457899,27,0.114866,0.467357
SED,agent,1950,0.297037,0.447650,27,0.124736,0.469338
SED,agent,2000,0.341481,0.453734,27,0.166839,0.516124
SED,agent,2050,0.395556,0.489814,27,0.207026,0.584085
SED,agent,2100,0.389630,0.485208,27,0.202873,0.576386
SED,agent,2150,0.338519,0.473511,27,0.156264,0.520773
SED,agent,2200,0.333333,0.480384,27,0.148433,0.518233
SED,agent,2250,0.333333,0.480384,27,0.148433,0.518233
SED,agent,2300,0.380000,0.480416,27,0.195088,0.564912
SED,agent,2350,0.407407,0.500712,27,0.214683,0.600131
SED,agent,2400,0.396296,0.490276,27,0.207589,0.585004
SED,agent,2450,0.392593,0.476692,27,0.209114,0.576071
SED,agent,2500,0.465185,0.475867,27,0.282024,0.648346
SED,agent,2550,0.487407,0.499604,27,0.295110,0.679705
SED,agent,2600,0.496296,0.479007,27,0.311927,0.680666
SED,agent,2650,0.549630,0.501517,27,0.356596,0.742664
SED,agent,2700,0.405926,0.479802,27,0.221250,0.590602
SED,agent,2750,0.407407,0.500712,27,0.214683,0.600131
SED,agent,2800,0.351111,0.472288,27,0.169327,0.532895
SED,agent,2850,0.309630,0.416962,27,0.149141,0.470118
SED,agent,2900,0.372593,0.478464,27,0.188432,0.556753
SED,agent,2950,0.425185,0.489162,27,0.236907,0.613464
SED,agent,3000,0.419259,0.475701,27,0.236162,0.602357
SED,agent,3050,0.367407,0.471467,27,0.185940,0.548875
SED,agent,3100,0.337037,0.478096,27,0.153018,0.521056
SED,agent,3150,0.389630,0.487201,27,0.202106,0.577154
SED,agent,3200,0.477037,0.472821,27,0.295048,0.659026
SED,agent,3250,0.477037,0.489920,27,0.288467,0.665607
SED,agent,3300,0.525185,0.495940,27,0.334298,0.716073
SED,agent,3350,0.526667,0.502272,27,0.333342,0.719991
SED,agent,3400,0.606667,0.479230,27,0.422211,0.791122
SED,agent,3450,0.555556,0.506370,27,0.360654,0.750457
SED,patient,0,0.377037,0.488095,27,0.189169,0.564905
SED,patient,50,0.372593,0.490499,27,0.183799,0.561386
SED,patient,100,0.370370,0.492103,27,0.180960,0.559781
SED,patient,150,0.368889,0.490191,27,0.180214,0.557563
SED,patient,200,0.448889,0.441617,27,0.278910,0.618867
SED,patient,250,0.629630,0.467970,27,0.449508,0.809751
SED,patient,300,0.663704,0.478492,27,0.479532,0.847876
SED,patient,350,0.618519,0.461800,27,0.440772,0.796265
SED,patient,400,0.497037,0.495975,27,0.306136,0.687938
SED,patient,450,0.445926,0.488351,27,0.257960,0.633892
SED,patient,500,0.388148,0.485458,27,0.201295,0.575001
SED,patient,550,0.304444,0.460980,27,0.127013,0.481876
SED,patient,600,0.262963,0.433402,27,0.096147,0.429779
SED,patient,650,0.208148,0.400778,27,0.053888,0.362408
SED,patient,700,0.132593,0.322450,27,0.008482,0.256704
SED,patient,750,0.179259,0.354682,27,0.042742,0.315776
SED,patient,800,0.185185,0.395847,27,0.032823,0.337547
SED,patient,850,0.211111,0.394514,27,0.059263,0.362959
SED,patient,900,0.257037,0.442882,27,0.086572,0.427503
SED,patient,950,0.224444,0.422605,27,0.061784,0.387105
SED,patient,1000,0.268889,0.428318,27,0.104029,0.433749
SED,patient,1050,0.296296,0.465322,27,0.117194,0.475399
SED,patient,1100,0.296296,0.460636,27,0.118997,0.473595
SED,patient,1150,0.301481,0.447761,27,0.129138,0.473825
SED,patient,1200,0.282963,0.449263,27,0.110042,0.455884
SED,patient,1250,0.272593,0.443904,27,0.101734,0.443451
SED,patient,1300,0.331111,0.456317,27,0.155474,0.506748
SED,patient,1350,0.357778,0.460913,27,0.180372,0.535183
SED,patient,1400,0.360000,0.480032,27,0.175236,0.544764
SED,patient,1450,0.395556,0.481099,27,0.210380,0.580731
SED,patient,1500,0.473333,0.502272,27,0.280009,0.666658
SED,patient,1550,0.474815,0.491515,27,0.285630,0.663999
SED,patient,1600,0.476296,0.504382,27,0.282160,0.670433
SED,patient,1650,0.485185,0.505891,27,0.290468,0.679903
SED,patient,1700,0.515556,0.489060,27,0.327316,0.703795
SED,patient,1750,0.531111,0.495653,27,0.340334,0.721888
SED,patient,1800,0.525926,0.497372,27,0.334487,0.717365
SED,patient,1850,0.517778,0.483492,27,0.331682,0.703874
SED,patient,1900,0.555556,0.506370,27,0.360654,0.750457
SED,patient,1950,0.566667,0.496914,27,0.375405,0.757929
SED,patient,2000,0.547407,0.479203,27,0.362962,0.731853
SED,patient,2050,0.493333,0.501199,27,0.300422,0.686245
SED,patient,2100,0.478519,0.487976,27,0.290696,0.666341
SED,patient,2150,0.494074,0.483157,27,0.308107,0.680041
SED,patient,2200,0.454815,0.488564,27,0.266766,0.642863
SED,patient,2250,0.481481,0.509175,27,0.285500,0.677463
SED,patient,2300,0.428148,0.484475,27,0.241674,0.614623
SED,patient,2350,0.394074,0.488981,27,0.205865,0.582283
