window_key,window,referent,time_rel,mean_prop,sd_prop,n_trial_bins,lower,upper
window4,"Post-onset, 0-1000 ms",agent,0.250000,0.443448,0.486609,58,0.315659,0.571238
window4,"Post-onset, 0-1000 ms",agent,0.300000,0.473448,0.492361,58,0.344148,0.602749
window4,"Post-onset, 0-1000 ms",agent,0.350000,0.522759,0.474419,58,0.398170,0.647347
window4,"Post-onset, 0-1000 ms",agent,0.400000,0.561034,0.487290,58,0.433066,0.689003
window4,"Post-onset, 0-1000 ms",agent,0.450000,0.564483,0.483714,58,0.437453,0.691512
window4,"Post-onset, 0-1000 ms",agent,0.500000,0.535517,0.483003,58,0.408674,0.662360
window4,"Post-onset, 0-1000 ms",agent,0.550000,0.515862,0.499962,58,0.384566,0.647158
window4,"Post-onset, 0-1000 ms",agent,0.600000,0.543103,0.487713,58,0.415024,0.671183
window4,"Post-onset, 0-1000 ms",agent,0.650000,0.557241,0.473960,58,0.432773,0.681709
window4,"Post-onset, 0-1000 ms",agent,0.700000,0.594483,0.480275,58,0.468356,0.720609
window4,"Post-onset, 0-1000 ms",agent,0.750000,0.577931,0.475958,58,0.452938,0.702924
window4,"Post-onset, 0-1000 ms",agent,0.800000,0.539310,0.494531,58,0.409440,0.669181
window4,"Post-onset, 0-1000 ms",agent,0.850000,0.503448,0.481053,58,0.377117,0.629779
window4,"Post-onset, 0-1000 ms",agent,0.900000,0.502069,0.494541,58,0.372196,0.631942
window4,"Post-onset, 0-1000 ms",agent,0.950000,0.507241,0.482678,58,0.380484,0.633999
window4,"Post-onset, 0-1000 ms",agent,1.000000,0.493793,0.495187,58,0.363751,0.623836
window4,"Post-onset, 0-1000 ms",patient,0.000000,0.463103,0.482738,58,0.336330,0.589877
window4,"Post-onset, 0-1000 ms",patient,0.050000,0.461034,0.497212,58,0.330460,0.591609
window4,"Post-onset, 0-1000 ms",patient,0.100000,0.464828,0.501119,58,0.333227,0.596428
window4,"Post-onset, 0-1000 ms",patient,0.150000,0.441724,0.482963,58,0.314892,0.568556
window4,"Post-onset, 0-1000 ms",patient,0.200000,0.429310,0.490960,58,0.300378,0.558243
window4,"Post-onset, 0-1000 ms",patient,0.250000,0.423793,0.482457,58,0.297094,0.550492
window4,"Post-onset, 0-1000 ms",patient,0.300000,0.381379,0.488073,58,0.253205,0.509554
window4,"Post-onset, 0-1000 ms",patient,0.350000,0.344828,0.460851,58,0.223802,0.465853
window4,"Post-onset, 0-1000 ms",patient,0.400000,0.320690,0.464757,58,0.198638,0.442741
window4,"Post-onset, 0-1000 ms",patient,0.450000,0.310345,0.466675,58,0.187790,0.432900
window4,"Post-onset, 0-1000 ms",patient,0.500000,0.321034,0.462676,58,0.199530,0.442539
