participant,asc_file,block,trial_index,trial_num,image,rt_ms,n_fixations,pre_fixations,post_fixations,unknown_phase_fixations,agent_fixations,patient_fixations,other_fixations,sentence_type,word_order,fluency,trial_svg
K02,k02.asc,60,60,21,cut_hair-2-1-l.png,2318,15,9,6,0,7,6,2,inverse,AVPX,pause,participant_trials/k02/b060_t60_cut_hair-2-1-l.svg
K02,k02.asc,61,61,22,burn-1-2-l.png,,59,0,0,59,27,27,5,-,-,-,participant_trials/k02/b061_t61_burn-1-2-l.svg
K02,k02.asc,62,62,23,wash-2-2-r.png,3658,20,11,9,0,9,9,2,direct,AVP,false start,participant_trials/k02/b062_t62_wash-2-2-r.svg
K02,k02.asc,63,63,24,saw-1-1-r.png,1761,8,5,3,0,3,3,2,direct,AVP,yes,participant_trials/k02/b063_t63_saw-1-1-r.svg
K02,k02.asc,64,64,25,shoot-1-2-l.png,1664,11,5,6,0,6,5,0,direct,AVP,false start,participant_trials/k02/b064_t64_shoot-1-2-l.svg
K02,k02.asc,65,65,26,open-2-1-l.png,1843,15,6,9,0,7,7,1,direct,AVP,yes,participant_trials/k02/b065_t65_open-2-1-l.svg
K02,k02.asc,66,66,27,treat-1-1-r.png,1939,15,8,7,0,8,7,0,direct,AXPV,false start,participant_trials/k02/b066_t66_treat-1-1-r.svg
K02,k02.asc,67,67,28,throw-2-2-r.png,1463,13,7,6,0,9,3,1,intransitive,AVP,false start,participant_trials/k02/b067_t67_throw-2-2-r.svg
K02,k02.asc,68,68,29,scold-2-1-l.png,1514,14,7,7,0,8,5,1,inverse,AVP,yes,participant_trials/k02/b068_t68_scold-2-1-l.svg
K02,k02.asc,69,69,30,cover-1-2-l.png,,35,0,0,35,30,4,1,-,-,-,participant_trials/k02/b069_t69_cover-1-2-l.svg
K02,k02.asc,70,70,31,hit-2-2-r.png,2426,15,9,6,0,7,7,1,intransitive,AVP,false start,participant_trials/k02/b070_t70_hit-2-2-r.svg
K02,k02.asc,71,71,32,paint-1-1-r.png,2108,12,7,5,0,7,4,1,direct,AVP,yes,participant_trials/k02/b071_t71_paint-1-1-r.svg
K03,k03.asc,4,4,1,call-1-1-r.png,2237,11,7,4,0,5,6,0,direct,AVP,yes,participant_trials/k03/b004_t4_call-1-1-r.svg
K03,k03.asc,5,5,2,break-2-2-r.png,3392,19,11,8,0,10,9,0,past,AVP,yes,participant_trials/k03/b005_t5_break-2-2-r.svg
K03,k03.asc,6,6,3,feed-1-2-l.png,3479,16,11,5,0,10,3,3,direct,AVP,yes,participant_trials/k03/b006_t6_feed-1-2-l.svg
K03,k03.asc,7,7,4,eat-2-1-l.png,2511,12,7,5,0,8,4,0,inverse,AVP,yes,participant_trials/k03/b007_t7_eat-2-1-l.svg
K03,k03.asc,8,8,5,wake-2-2-r.png,2859,16,9,7,0,6,10,0,inverse,AVP,false start,participant_trials/k03/b008_t8_wake-2-2-r.svg
