type,referent,time_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
pass,patient,2400,0.428451,0.483507,71,0.313687,0.543214
pass,patient,2450,0.409091,0.495434,66,0.287124,0.531058
pass,patient,2500,0.392000,0.476482,65,0.273799,0.510201
pass,patient,2550,0.389063,0.477586,64,0.269666,0.508459
pass,patient,2600,0.336452,0.466554,62,0.217947,0.454956
pass,patient,2650,0.357524,0.476612,60,0.234463,0.480585
pass,patient,2700,0.390000,0.489675,56,0.259129,0.520871
pass,patient,2750,0.403846,0.495454,52,0.266432,0.541260
pass,patient,2800,0.433061,0.496413,49,0.291229,0.574894
pass,patient,2850,0.415652,0.485028,46,0.272625,0.558679
pass,patient,2900,0.401395,0.477062,43,0.255893,0.546898
pass,patient,2950,0.457073,0.492048,41,0.303383,0.610763
pass,patient,3000,0.468000,0.498157,40,0.310469,0.625531
pass,patient,3050,0.510000,0.494483,38,0.349569,0.670431
pass,patient,3100,0.470526,0.502830,38,0.307387,0.633666
pass,patient,3150,0.470303,0.497899,33,0.296957,0.643649
pass,patient,3200,0.447273,0.499245,33,0.273458,0.621087
pass,patient,3250,0.469032,0.498473,31,0.289975,0.648089
pass,patient,3300,0.431613,0.493255,31,0.254430,0.608795
pass,patient,3350,0.487143,0.500554,28,0.297951,0.676335
pass,patient,3400,0.486667,0.494617,27,0.296288,0.677045
pass,patient,3450,0.410555,0.492845,26,0.217245,0.603864
