variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
"r_item[6,Intercept]",-0.27308184451808626,-0.27365021662739586,0.11901760311675584,0.11520537847968551,-0.46568043311480317,-0.07794670734010652,1.0027779722310461,605.1425658019167,976.45372759703
"r_item[7,Intercept]",-0.3312695244844398,-0.3333994688419116,0.12205181145990115,0.11874547784789728,-0.5257674454654343,-0.12923633352619207,1.0025847325912645,666.047092265481,1015.7720159980572
"r_item[8,Intercept]",0.19454046805693806,0.19420964760327816,0.11982796311224692,0.1151263579826407,2.9202731684777343e-4,0.3933368300575926,1.0020222698911088,609.4270693472948,968.0432781373087
"r_item[9,Intercept]",-0.6658681523858697,-0.6662521273993642,0.12100670163792727,0.11635802448205243,-0.8623441258449029,-0.4663076648070012,1.0025960587269163,620.2180491898781,969.9085504902612
"r_item[10,Intercept]",-0.36916222860338993,-0.37036408358918427,0.12066401848861881,0.11610614797186601,-0.5629479852086091,-0.16601795803489935,1.0023718571103346,644.1369402575024,991.1235687010735
"r_item[11,Intercept]",-0.010606704229156813,-0.01088899586498567,0.126924704889427,0.12407743238022925,-0.2163119070934806,0.19821368267692668,1.0015603147142031,724.5672029364864,1038.6994798444691
"r_item[12,Intercept]",-1.1437504876673983,-1.146564359999258,0.12162866208902857,0.12133841530066715,-1.3409406288497672,-0.9444836983435113,1.0025934175881643,659.7612015618641,1040.0718118848363
"r_item[13,Intercept]",0.21262549926361402,0.21140007773818642,0.12117956308206672,0.1177437453259551,0.01887779891079202,0.41448451069830466,1.0025514807982454,634.0005396058509,1021.7616907497102
"r_item[14,Intercept]",-0.2804581686022815,-0.2816079800596463,0.11959647663952952,0.11583978939654997,-0.4737170000408925,-0.07736785739358785,1.002276176502687,628.1093946011895,1074.3318301033687
"r_item[15,Intercept]",-0.06986955064396305,-0.07208371730089962,0.1185362317573495,0.11179200314728734,-0.2615073584926003,0.12859399551262862,1.0021911520899538,625.2452225307143,937.2672881820534
"r_item[16,Intercept]",0.3255744370734438,0.3262831874556994,0.12401580529380525,0.12032498151624324,0.1257106983672327,0.5286136876483142,1.0024967076919362,654.6446331282419,1074.9858427812585
"r_item[17,Intercept]",-0.09395023226761437,-0.09528619746254044,0.11956013237173344,0.11504516049201192,-0.2892970796036493,0.10495256284560152,1.002172947936908,654.7402417772701,1111.2574075781688
"r_item[18,Intercept]",-0.09378079604226733,-0.09579671077803267,0.11814785141837386,0.11436376781661871,-0.28324179127294014,0.09895814800835227,1.0023214949681312,614.2096771534042,994.05553186395
"r_item[19,Intercept]",-0.7035247652123834,-0.7057250978494185,0.11830921982629156,0.11363463497464917,-0.8963042113890906,-0.5088746723979704,1.0027336608519481,601.0413884557818,991.363073405074
"r_item[20,Intercept]",-0.7776115750352387,-0.7793624722680754,0.11878087823318603,0.11425206744523493,-0.9667861696499397,-0.5803007439950102,1.0027002129176241,616.696949435406,981.1348929015264
"r_item[21,Intercept]",0.5622700592883739,0.5637183247430626,0.12023651934114525,0.11585117727410459,0.3697081558281252,0.7623510343926212,1.0021664772281467,637.7074404011491,1045.956417519691
"r_item[22,Intercept]",0.16768083240603157,0.16760394881178017,0.11911708532407787,0.11488006464881184,-0.023167705969256144,0.36755813928217995,1.0022851474269805,634.5049996494216,1092.16962207323
"r_item[23,Intercept]",-0.25426106002295074,-0.2559122775814611,0.11952668037922208,0.11443061780217176,-0.44385360896096426,-0.056004792517458796,1.0022860673326484,626.5103100624643,1097.3885530092675
"r_item[24,Intercept]",0.15924475059947635,0.15833335589157216,0.11864766281441767,0.1135862435351312,-0.03205120505287036,0.35501899525012687,1.0022073373131013,613.5912262856468,933.4935117751031
"r_person[1,Intercept]",-0.5644249746138892,-0.5617037237160671,0.14219265778598825,0.13868179654191387,-0.799457502845516,-0.33353562667623565,1.0048474300118069,1031.817323829351,1461.8660759541108
"r_person[2,Intercept]",-0.039586742453185234,-0.0370206172670502,0.14292449793333775,0.13973843098147132,-0.27838973010597634,0.1911454977025984,1.0051660430736138,1035.6595494539224,1597.3362674942257
"r_person[3,Intercept]",-0.15695795956212766,-0.1544245745906208,0.1413581896554353,0.13756064537366075,-0.39156215492976404,0.07086845975426126,1.005945949570925,1014.4788520479161,1431.8067283258385
"r_person[4,Intercept]",0.6337467122193738,0.637458100559769,0.14126288392732123,0.13599036261524078,0.39663685076035693,0.8614109764826523,1.00670683248909,1034.5893874951078,1413.1182469864407
"r_person[5,Intercept]",0.23104079175611672,0.23352195558486605,0.14337539615717637,0.14270478191207708,-0.010682849812204335,0.46199119587262316,1.0046994012015744,1058.9554362966787,1496.876977152782
"r_person[6,Intercept]",-0.30198282213528,-0.29966027060041656,0.14098506171879835,0.1378188154047253,-0.5387502965776017,-0.07749197748634933,1.0071167996596666,1015.6985691461427,1446.521752585608
"r_person[7,Intercept]",0.47975091196767317,0.4814731139514707,0.1406784923452193,0.1359779694491664,0.2454357169352155,0.7088807060918516,1.0063159290890074,1038.7337840018115,1520.0414819885857
"r_person[8,Intercept]",-0.14246202486040813,-0.13905748006865953,0.14058016681102412,0.13700919882831214,-0.3757684572068857,0.08362084931849002,1.0057381731996966,1013.5175254174009,1364.5323587347536
