participant,referent,time_bin_start_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
RAI_b1,agent,1400,0.600000,0.516398,10,0.273401,0.926599
RAI_b1,agent,1450,0.600000,0.516398,10,0.273401,0.926599
RAI_b1,agent,1500,0.564000,0.459062,10,0.273664,0.854336
RAI_b1,agent,1550,0.490000,0.496857,10,0.175760,0.804240
RAI_b1,agent,1600,0.436000,0.497621,10,0.121277,0.750723
RAI_b1,agent,1650,0.400000,0.516398,10,0.073401,0.726599
RAI_b1,agent,1700,0.400000,0.516398,10,0.073401,0.726599
RAI_b1,agent,1750,0.370000,0.485455,10,0.062971,0.677029
RAI_b1,agent,1800,0.300000,0.483046,10,0.000000,0.605505
RAI_b1,agent,1850,0.300000,0.483046,10,0.000000,0.605505
RAI_b1,agent,1900,0.300000,0.483046,10,0.000000,0.605505
RAI_b1,agent,1950,0.400000,0.486621,10,0.092234,0.707766
RAI_b1,agent,2000,0.468000,0.502456,10,0.150219,0.785781
RAI_b1,agent,2050,0.314000,0.475353,10,0.013361,0.614639
RAI_b1,agent,2100,0.300000,0.483046,10,0.000000,0.605505
RAI_b1,agent,2150,0.300000,0.483046,10,0.000000,0.605505
RAI_b1,agent,2200,0.340000,0.471876,10,0.041560,0.638440
RAI_b1,agent,2250,0.492000,0.519162,10,0.163653,0.820347
RAI_b1,agent,2300,0.500000,0.527046,10,0.166667,0.833333
RAI_b1,agent,2350,0.326000,0.469898,10,0.028810,0.623190
RAI_b1,agent,2400,0.292000,0.470669,10,0.000000,0.589677
RAI_b1,agent,2450,0.200000,0.421637,10,0.000000,0.466667
RAI_b1,agent,2500,0.262000,0.434353,10,0.000000,0.536709
RAI_b1,agent,2550,0.354000,0.475913,10,0.053006,0.654994
RAI_b1,agent,2600,0.304000,0.480444,10,0.000140,0.607860
RAI_b1,agent,2650,0.294000,0.473667,10,0.000000,0.593573
RAI_b1,agent,2700,0.206000,0.418893,10,0.000000,0.470931
RAI_b1,agent,2750,0.300000,0.483046,10,0.000000,0.605505
RAI_b1,agent,2800,0.300000,0.483046,10,0.000000,0.605505
RAI_b1,agent,2850,0.300000,0.483046,10,0.000000,0.605505
RAI_b1,agent,2900,0.268000,0.440222,10,0.000000,0.546421
RAI_b1,agent,2950,0.202000,0.420629,10,0.000000,0.468029
RAI_b1,agent,3000,0.300000,0.483046,10,0.000000,0.605505
RAI_b1,agent,3050,0.328000,0.470480,10,0.030443,0.625557
RAI_b1,agent,3100,0.500000,0.527046,10,0.166667,0.833333
RAI_b1,agent,3150,0.462000,0.499996,10,0.145775,0.778225
RAI_b1,agent,3200,0.400000,0.516398,10,0.073401,0.726599
RAI_b1,agent,3250,0.400000,0.516398,10,0.073401,0.726599
RAI_b1,agent,3300,0.446000,0.481484,10,0.141483,0.750517
RAI_b1,agent,3350,0.492000,0.519162,10,0.163653,0.820347
RAI_b1,agent,3400,0.500000,0.527046,10,0.166667,0.833333
RAI_b1,agent,3450,0.500000,0.527046,10,0.166667,0.833333
RAI_b1,patient,0,0.670000,0.471522,10,0.371783,0.968217
RAI_b1,patient,50,0.564000,0.497621,10,0.249277,0.878723
RAI_b1,patient,100,0.500000,0.527046,10,0.166667,0.833333
RAI_b1,patient,150,0.458000,0.483547,10,0.152178,0.763822
RAI_b1,patient,200,0.470000,0.432486,10,0.196472,0.743528
RAI_b1,patient,250,0.416000,0.503569,10,0.097515,0.734485
RAI_b1,patient,300,0.512000,0.515640,10,0.185881,0.838119
RAI_b1,patient,350,0.500000,0.527046,10,0.166667,0.833333
RAI_b1,patient,400,0.532000,0.502456,10,0.214219,0.849781
RAI_b1,patient,450,0.446000,0.486808,10,0.138115,0.753885
RAI_b1,patient,500,0.412000,0.507385,10,0.091101,0.732899
RAI_b1,patient,550,0.500000,0.527046,10,0.166667,0.833333
RAI_b1,patient,600,0.410000,0.504843,10,0.090709,0.729291
RAI_b1,patient,650,0.272000,0.444542,10,0.000000,0.553153
RAI_b1,patient,700,0.200000,0.421637,10,0.000000,0.466667
RAI_b1,patient,750,0.200000,0.421637,10,0.000000,0.466667
RAI_b1,patient,800,0.200000,0.421637,10,0.000000,0.466667
RAI_b1,patient,850,0.200000,0.421637,10,0.000000,0.466667
RAI_b1,patient,900,0.200000,0.421637,10,0.000000,0.466667
RAI_b1,patient,950,0.160000,0.346538,10,0.000000,0.379170
RAI_b1,patient,1000,0.106000,0.314685,10,0.000000,0.305024
RAI_b1,patient,1050,0.100000,0.316228,10,0.000000,0.300000
RAI_b1,patient,1100,0.038000,0.120167,10,0.000000,0.114000
RAI_b1,patient,1150,0.108000,0.234606,10,0.000000,0.256378
RAI_b1,patient,1200,0.248000,0.423656,10,0.000000,0.515944
RAI_b1,patient,1250,0.300000,0.483046,10,0.000000,0.605505
RAI_b1,patient,1300,0.300000,0.483046,10,0.000000,0.605505
RAI_b1,patient,1350,0.300000,0.483046,10,0.000000,0.605505
RAI_b1,patient,1400,0.300000,0.483046,10,0.000000,0.605505
RAI_b1,patient,1450,0.300000,0.483046,10,0.000000,0.605505
RAI_b1,patient,1500,0.336000,0.430586,10,0.063673,0.608327
RAI_b1,patient,1550,0.422000,0.501947,10,0.104541,0.739459
RAI_b1,patient,1600,0.564000,0.497621,10,0.249277,0.878723
RAI_b1,patient,1650,0.600000,0.516398,10,0.273401,0.926599
RAI_b1,patient,1700,0.600000,0.516398,10,0.273401,0.926599
RAI_b1,patient,1750,0.630000,0.485455,10,0.322971,0.937029
RAI_b1,patient,1800,0.700000,0.483046,10,0.394495,1.000000
RAI_b1,patient,1850,0.700000,0.483046,10,0.394495,1.000000
RAI_b1,patient,1900,0.700000,0.483046,10,0.394495,1.000000
RAI_b1,patient,1950,0.600000,0.486621,10,0.292234,0.907766
RAI_b1,patient,2000,0.532000,0.502456,10,0.214219,0.849781
RAI_b1,patient,2050,0.600000,0.516398,10,0.273401,0.926599
RAI_b1,patient,2100,0.600000,0.516398,10,0.273401,0.926599
RAI_b1,patient,2150,0.600000,0.516398,10,0.273401,0.926599
RAI_b1,patient,2200,0.560000,0.497103,10,0.245605,0.874395
RAI_b1,patient,2250,0.458000,0.489757,10,0.148250,0.767750
