type,word_order,split,referent,time_bin_start_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
act,APV,less_than_mean,patient,3100,0.559588,0.483150,194,0.490211,0.628964
act,APV,less_than_mean,patient,3150,0.548969,0.486118,194,0.479167,0.618772
act,APV,less_than_mean,patient,3200,0.534330,0.489584,194,0.464030,0.604630
act,APV,less_than_mean,patient,3250,0.514639,0.485892,194,0.444869,0.584409
act,APV,less_than_mean,patient,3300,0.505052,0.491011,194,0.434547,0.575557
act,APV,less_than_mean,patient,3350,0.496082,0.491892,194,0.425451,0.566714
act,APV,less_than_mean,patient,3400,0.500928,0.492001,194,0.430281,0.571575
act,APV,more_than_mean,agent,0,0.355448,0.464338,145,0.278326,0.432571
act,APV,more_than_mean,agent,50,0.398621,0.476408,145,0.319494,0.477748
act,APV,more_than_mean,agent,100,0.398207,0.481484,145,0.318237,0.478177
act,APV,more_than_mean,agent,150,0.384414,0.462790,145,0.307549,0.461279
act,APV,more_than_mean,agent,200,0.406345,0.455459,145,0.330697,0.481992
act,APV,more_than_mean,agent,250,0.428138,0.458327,145,0.352014,0.504262
act,APV,more_than_mean,agent,300,0.453931,0.469434,145,0.375962,0.531900
act,APV,more_than_mean,agent,350,0.449103,0.483638,145,0.368776,0.529431
act,APV,more_than_mean,agent,400,0.443724,0.477819,145,0.364363,0.523086
act,APV,more_than_mean,agent,450,0.458069,0.481718,145,0.378060,0.538078
act,APV,more_than_mean,agent,500,0.464966,0.488658,145,0.383804,0.546127
act,APV,more_than_mean,agent,550,0.485655,0.484445,145,0.405193,0.566117
act,APV,more_than_mean,agent,600,0.510897,0.485037,145,0.430336,0.591457
act,APV,more_than_mean,agent,650,0.522345,0.491989,145,0.440630,0.604060
act,APV,more_than_mean,agent,700,0.532966,0.485304,145,0.452361,0.613570
act,APV,more_than_mean,agent,750,0.577655,0.480807,145,0.497798,0.657513
act,APV,more_than_mean,agent,800,0.588414,0.484118,145,0.508006,0.668821
act,APV,more_than_mean,agent,850,0.610483,0.473011,145,0.531920,0.689046
act,APV,more_than_mean,agent,900,0.618345,0.476407,145,0.539218,0.697472
act,APV,more_than_mean,agent,950,0.590897,0.473949,145,0.512178,0.669615
act,APV,more_than_mean,agent,1000,0.596138,0.476278,145,0.517032,0.675243
act,APV,more_than_mean,agent,1050,0.582621,0.480823,145,0.502760,0.662481
act,APV,more_than_mean,agent,1100,0.571034,0.478347,145,0.491585,0.650484
act,APV,more_than_mean,agent,1150,0.561379,0.480894,145,0.481507,0.641251
act,APV,more_than_mean,agent,1200,0.536966,0.489554,145,0.455655,0.618276
act,APV,more_than_mean,agent,1250,0.519172,0.499699,145,0.436177,0.602168
act,APV,more_than_mean,agent,1300,0.502207,0.490165,145,0.420795,0.583619
act,APV,more_than_mean,agent,1350,0.500276,0.487773,145,0.419261,0.581290
act,APV,more_than_mean,agent,1400,0.490207,0.495458,145,0.407916,0.572498
act,APV,more_than_mean,agent,1450,0.472000,0.478548,145,0.392518,0.551482
act,APV,more_than_mean,agent,1500,0.481517,0.485112,145,0.400944,0.562090
act,APV,more_than_mean,agent,1550,0.496966,0.484145,145,0.416553,0.577378
act,APV,more_than_mean,agent,1600,0.506069,0.484168,145,0.425653,0.586485
act,APV,more_than_mean,agent,1650,0.530759,0.488456,145,0.449631,0.611887
act,APV,more_than_mean,agent,1700,0.543862,0.483105,145,0.463623,0.624101
act,APV,more_than_mean,agent,1750,0.532828,0.484061,145,0.452429,0.613226
act,APV,more_than_mean,agent,1800,0.534897,0.492475,145,0.453101,0.616692
act,APV,more_than_mean,agent,1850,0.537517,0.486026,145,0.456793,0.618242
act,APV,more_than_mean,agent,1900,0.541241,0.487495,145,0.460273,0.622210
act,APV,more_than_mean,agent,1950,0.546069,0.486040,145,0.465342,0.626796
act,APV,more_than_mean,agent,2000,0.536276,0.481369,145,0.456325,0.616227
act,APV,more_than_mean,agent,2050,0.536966,0.492687,145,0.455135,0.618796
act,APV,more_than_mean,agent,2100,0.507034,0.492322,145,0.425264,0.588805
act,APV,more_than_mean,agent,2150,0.523310,0.485673,145,0.442645,0.603976
act,APV,more_than_mean,agent,2200,0.550483,0.485009,145,0.469927,0.631038
act,APV,more_than_mean,agent,2250,0.557517,0.483683,145,0.477182,0.637853
act,APV,more_than_mean,agent,2300,0.565931,0.478749,145,0.486415,0.645447
act,APV,more_than_mean,agent,2350,0.562483,0.485008,145,0.481927,0.643038
act,APV,more_than_mean,agent,2400,0.592828,0.479454,145,0.513195,0.672461
act,APV,more_than_mean,agent,2450,0.566483,0.479391,145,0.486860,0.646105
act,APV,more_than_mean,agent,2500,0.554621,0.484855,145,0.474091,0.635151
act,APV,more_than_mean,agent,2550,0.535310,0.491065,145,0.453749,0.616872
act,APV,more_than_mean,agent,2600,0.519310,0.491531,145,0.437672,0.600949
act,APV,more_than_mean,agent,2650,0.500552,0.494671,145,0.418391,0.582712
act,APV,more_than_mean,agent,2700,0.504138,0.493541,145,0.422165,0.586111
act,APV,more_than_mean,agent,2750,0.508828,0.483654,145,0.428497,0.589158
act,APV,more_than_mean,agent,2800,0.516414,0.486042,145,0.435687,0.597141
act,APV,more_than_mean,agent,2850,0.510759,0.488871,145,0.429562,0.591956
act,APV,more_than_mean,agent,2900,0.491034,0.494520,145,0.408899,0.573170
act,APV,more_than_mean,agent,2950,0.464966,0.481338,145,0.385020,0.544911
act,APV,more_than_mean,agent,3000,0.464414,0.489288,145,0.383148,0.545680
act,APV,more_than_mean,agent,3050,0.479172,0.491962,145,0.397462,0.560883
act,APV,more_than_mean,agent,3100,0.459862,0.489248,145,0.378602,0.541122
act,APV,more_than_mean,agent,3150,0.447172,0.486899,145,0.366303,0.528042
act,APV,more_than_mean,agent,3200,0.436966,0.486977,145,0.356083,0.517848
act,APV,more_than_mean,agent,3250,0.452414,0.493187,145,0.370500,0.534328
act,APV,more_than_mean,agent,3300,0.413103,0.477816,145,0.333743,0.492464
act,APV,more_than_mean,agent,3350,0.394345,0.477887,145,0.314972,0.473718
act,APV,more_than_mean,agent,3400,0.376000,0.472056,145,0.297596,0.454404
act,APV,more_than_mean,agent,3450,0.334207,0.463297,145,0.257257,0.411156
act,APV,more_than_mean,agent,3500,0.354483,0.470877,145,0.276274,0.432691
act,APV,more_than_mean,agent,3550,0.349103,0.469657,145,0.271098,0.427109
act,APV,more_than_mean,agent,3600,0.348966,0.471098,145,0.270720,0.427211
act,APV,more_than_mean,agent,3650,0.362621,0.479463,145,0.282986,0.442255
act,APV,more_than_mean,agent,3700,0.374345,0.480334,145,0.294566,0.454124
act,APV,more_than_mean,agent,3750,0.386069,0.473552,145,0.307416,0.464722
act,APV,more_than_mean,agent,3800,0.360414,0.464988,145,0.283184,0.437644
act,APV,more_than_mean,agent,3850,0.327448,0.462763,145,0.250588,0.404309
act,APV,more_than_mean,agent,3900,0.298345,0.445561,145,0.224341,0.372349
act,APV,more_than_mean,agent,3950,0.288000,0.448933,145,0.213436,0.362564
act,APV,more_than_mean,agent,4000,0.289379,0.446505,145,0.215219,0.363540
act,APV,more_than_mean,agent,4050,0.290069,0.443090,145,0.216476,0.363662
act,APV,more_than_mean,agent,4100,0.308138,0.457527,145,0.232147,0.384129
act,APV,more_than_mean,agent,4150,0.316414,0.459859,145,0.240035,0.392792
act,APV,more_than_mean,agent,4200,0.344000,0.468684,145,0.266156,0.421844
act,APV,more_than_mean,agent,4250,0.332138,0.460865,145,0.255593,0.408683
act,APV,more_than_mean,agent,4300,0.301379,0.445400,145,0.227402,0.375356
act,APV,more_than_mean,agent,4350,0.284690,0.443102,145,0.211094,0.358285
act,APV,more_than_mean,agent,4400,0.286207,0.437807,145,0.213491,0.358923
act,APV,more_than_mean,agent,4450,0.321931,0.460111,145,0.245511,0.398351
act,APV,more_than_mean,agent,4500,0.350759,0.471198,145,0.272497,0.429020
act,APV,more_than_mean,agent,4550,0.354759,0.475097,145,0.275849,0.433668
act,APV,more_than_mean,agent,4600,0.378483,0.474746,145,0.299632,0.457334
act,APV,more_than_mean,agent,4650,0.362207,0.470668,145,0.284033,0.440381
act,APV,more_than_mean,agent,4700,0.354345,0.471196,145,0.276083,0.432606
act,APV,more_than_mean,agent,4750,0.335310,0.466798,145,0.257779,0.412841
act,APV,more_than_mean,agent,4800,0.355586,0.473565,145,0.276931,0.434241
act,APV,more_than_mean,agent,4850,0.364690,0.478319,145,0.285245,0.444134
act,APV,more_than_mean,agent,4900,0.369793,0.475565,145,0.290806,0.448780
act,APV,more_than_mean,patient,0,0.395172,0.477983,145,0.315784,0.474561
act,APV,more_than_mean,patient,50,0.364276,0.460713,145,0.287756,0.440796
act,APV,more_than_mean,patient,100,0.389793,0.480515,145,0.309984,0.469602
act,APV,more_than_mean,patient,150,0.419862,0.467734,145,0.342176,0.497548
act,APV,more_than_mean,patient,200,0.458483,0.468034,145,0.380747,0.536219
act,APV,more_than_mean,patient,250,0.492000,0.467193,145,0.414404,0.569596
act,APV,more_than_mean,patient,300,0.486345,0.471031,145,0.408111,0.564579
act,APV,more_than_mean,patient,350,0.488828,0.486198,145,0.408075,0.569581
act,APV,more_than_mean,patient,400,0.480000,0.481243,145,0.400070,0.559930
act,APV,more_than_mean,patient,450,0.456138,0.477169,145,0.376884,0.535391
act,APV,more_than_mean,patient,500,0.454483,0.485332,145,0.373874,0.535092
act,APV,more_than_mean,patient,550,0.435034,0.477712,145,0.355691,0.514378
act,APV,more_than_mean,patient,600,0.412000,0.477502,145,0.332691,0.491309
act,APV,more_than_mean,patient,650,0.392828,0.479297,145,0.313221,0.472435
act,APV,more_than_mean,patient,700,0.377517,0.469242,145,0.299580,0.455454
act,APV,more_than_mean,patient,750,0.338759,0.463562,145,0.261765,0.415752
act,APV,more_than_mean,patient,800,0.342621,0.462062,145,0.265876,0.419365
act,APV,more_than_mean,patient,850,0.312966,0.449522,145,0.238304,0.387627
act,APV,more_than_mean,patient,900,0.294345,0.444120,145,0.220580,0.368109
act,APV,more_than_mean,patient,950,0.296414,0.444308,145,0.222618,0.370209
act,APV,more_than_mean,patient,1000,0.283724,0.430542,145,0.212215,0.355233
act,APV,more_than_mean,patient,1050,0.289517,0.439457,145,0.216527,0.362507
act,APV,more_than_mean,patient,1100,0.281379,0.432214,145,0.209592,0.353166
act,APV,more_than_mean,patient,1150,0.289379,0.436107,145,0.216946,0.361813
act,APV,more_than_mean,patient,1200,0.331172,0.460066,145,0.254760,0.407585
act,APV,more_than_mean,patient,1250,0.357655,0.474865,145,0.278784,0.436526
act,APV,more_than_mean,patient,1300,0.372552,0.475891,145,0.293511,0.451593
act,APV,more_than_mean,patient,1350,0.379448,0.470773,145,0.301257,0.457639
act,APV,more_than_mean,patient,1400,0.397655,0.480836,145,0.317793,0.477518
act,APV,more_than_mean,patient,1450,0.400276,0.468538,145,0.322456,0.478096
act,APV,more_than_mean,patient,1500,0.400828,0.475785,145,0.321804,0.479851
act,APV,more_than_mean,patient,1550,0.385517,0.470351,145,0.307396,0.463638
act,APV,more_than_mean,patient,1600,0.379724,0.474681,145,0.300884,0.458564
act,APV,more_than_mean,patient,1650,0.368138,0.474941,145,0.289254,0.447021
act,APV,more_than_mean,patient,1700,0.353793,0.470245,145,0.275690,0.431897
act,APV,more_than_mean,patient,1750,0.349931,0.470993,145,0.271703,0.428159
act,APV,more_than_mean,patient,1800,0.348000,0.472801,145,0.269472,0.426528
act,APV,more_than_mean,patient,1850,0.359034,0.469523,145,0.281051,0.437018
act,APV,more_than_mean,patient,1900,0.363586,0.471444,145,0.285284,0.441889
act,APV,more_than_mean,patient,1950,0.355172,0.465554,145,0.277848,0.432497
act,APV,more_than_mean,patient,2000,0.358483,0.461466,145,0.281838,0.435128
act,APV,more_than_mean,patient,2050,0.353931,0.471289,145,0.275654,0.432208
act,APV,more_than_mean,patient,2100,0.372966,0.475257,145,0.294030,0.451901
act,APV,more_than_mean,patient,2150,0.375310,0.470597,145,0.297148,0.453472
act,APV,more_than_mean,patient,2200,0.374621,0.471524,145,0.296305,0.452937
act,APV,more_than_mean,patient,2250,0.357793,0.472247,145,0.279357,0.436229
act,APV,more_than_mean,patient,2300,0.332276,0.456789,145,0.256407,0.408144
act,APV,more_than_mean,patient,2350,0.335862,0.465945,145,0.258473,0.413251
act,APV,more_than_mean,patient,2400,0.309241,0.445995,145,0.235166,0.383317
act,APV,more_than_mean,patient,2450,0.314069,0.449222,145,0.239457,0.388681
act,APV,more_than_mean,patient,2500,0.310069,0.450494,145,0.235246,0.384892
act,APV,more_than_mean,patient,2550,0.322483,0.460970,145,0.245920,0.399046
act,APV,more_than_mean,patient,2600,0.374759,0.472117,145,0.296344,0.453173
act,APV,more_than_mean,patient,2650,0.387724,0.484287,145,0.307288,0.468160
act,APV,more_than_mean,patient,2700,0.391310,0.486300,145,0.310540,0.472080
act,APV,more_than_mean,patient,2750,0.388966,0.472381,145,0.310507,0.467424
act,APV,more_than_mean,patient,2800,0.371310,0.466034,145,0.293906,0.448714
act,APV,more_than_mean,patient,2850,0.379586,0.474737,145,0.300737,0.458436
act,APV,more_than_mean,patient,2900,0.366621,0.474611,145,0.287792,0.445449
act,APV,more_than_mean,patient,2950,0.382759,0.470494,145,0.304614,0.460903
act,APV,more_than_mean,patient,3000,0.398483,0.482459,145,0.318351,0.478615
act,APV,more_than_mean,patient,3050,0.391862,0.483279,145,0.311594,0.472130
act,APV,more_than_mean,patient,3100,0.414759,0.480127,145,0.335014,0.494503
act,APV,more_than_mean,patient,3150,0.400552,0.469592,145,0.322557,0.478547
act,APV,more_than_mean,patient,3200,0.372414,0.475915,145,0.293369,0.451459
act,APV,more_than_mean,patient,3250,0.396414,0.483412,145,0.316123,0.476704
act,APV,more_than_mean,patient,3300,0.456276,0.484774,145,0.375759,0.536792
act,APV,more_than_mean,patient,3350,0.498207,0.490442,145,0.416749,0.579665
act,APV,more_than_mean,patient,3400,0.529931,0.482183,145,0.449845,0.610017
act,APV,more_than_mean,patient,3450,0.555724,0.489479,145,0.474426,0.637022
act,APV,more_than_mean,patient,3500,0.554897,0.486939,145,0.474020,0.635773
act,APV,more_than_mean,patient,3550,0.540138,0.491090,145,0.458572,0.621704
act,APV,more_than_mean,patient,3600,0.532690,0.489369,145,0.451410,0.613969
act,APV,more_than_mean,patient,3650,0.473379,0.492415,145,0.391594,0.555165
act,APV,more_than_mean,patient,3700,0.464000,0.489794,145,0.382650,0.545350
act,APV,more_than_mean,patient,3750,0.475862,0.484790,145,0.395343,0.556381
act,APV,more_than_mean,patient,3800,0.514621,0.486811,145,0.433766,0.595476
act,APV,more_than_mean,patient,3850,0.536414,0.487458,145,0.455452,0.617376
act,APV,more_than_mean,patient,3900,0.541379,0.488528,145,0.460239,0.622519
act,APV,more_than_mean,patient,3950,0.563862,0.485348,145,0.483250,0.644474
act,APV,more_than_mean,patient,4000,0.537517,0.491330,145,0.455912,0.619123
act,APV,more_than_mean,patient,4050,0.506069,0.489264,145,0.424807,0.587331
act,APV,more_than_mean,patient,4100,0.494759,0.489314,145,0.413488,0.576029
act,APV,more_than_mean,patient,4150,0.500690,0.486395,145,0.419904,0.581475
act,APV,more_than_mean,patient,4200,0.497931,0.482826,145,0.417738,0.578124
act,APV,more_than_mean,patient,4250,0.502345,0.484668,145,0.421846,0.582844
act,APV,more_than_mean,patient,4300,0.532552,0.487402,145,0.451599,0.613505
act,APV,more_than_mean,patient,4350,0.564138,0.491765,145,0.482460,0.645816
act,APV,more_than_mean,patient,4400,0.580828,0.479125,145,0.501249,0.660406
