variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
"r_person[3,time]",0.3672357339815895,0.36826894242315256,0.20341313404413067,0.2010289461438423,0.036947377749178764,0.6982605520422636,1.0013557036557486,2094.950238357512,2422.2718362978076
"r_person[4,time]",-0.5332653037535209,-0.531775688250518,0.20598039891220346,0.20121172740209825,-0.8735872769272641,-0.19463133772127947,1.0012942866364534,1884.7600612822948,2450.6104735949343
"r_person[5,time]",0.6195744533189229,0.6130858272131132,0.2736036840873204,0.2717121230595058,0.1847716324368068,1.0837945835498772,1.0006349300431672,3108.367025381581,2991.0858994348073
"r_person[6,time]",-0.34781243516712806,-0.34573564062628126,0.23670186259949022,0.22808509156192291,-0.75127321287199,0.034390091557246386,1.0012653233932642,2384.495208942239,3034.7125812461454
"r_person[7,time]",-0.18498411057280667,-0.1839076690869964,0.20976312603274913,0.20347555361064248,-0.527055347644497,0.15922500225913058,1.001807342533709,2013.1859548183334,2632.3207776233508
"r_person[8,time]",0.33962361651389483,0.33840829780442716,0.19669635319352535,0.18601775823638414,0.014164890988411413,0.6660236342376696,1.0015774320128832,1945.7492836476265,2374.0112270027225
"r_person[9,time]",-0.25444783871813725,-0.251491668737711,0.21368856137422843,0.20267932887934154,-0.6100387669884595,0.09174759045769852,1.0020362473577769,1980.9742853982982,2751.260393559709
"r_person[10,time]",0.15847639910506994,0.16011684170386448,0.26576010024465163,0.26165941063117587,-0.2890970200792117,0.5992511333242732,1.001016578207816,2923.8651946476734,2506.065929967003
"r_person[11,time]",-0.04736687666755801,-0.04607289883288124,0.3271331701012113,0.319045156169884,-0.594770697652192,0.48553342980926745,0.9997612486714053,3841.0549963515496,3425.0118347642015
"r_person[12,time]",0.7955804844544606,0.7930668672161711,0.21221938701229734,0.2073143119401064,0.4502457935818274,1.1413368122589962,1.0016930106870925,2257.475774722199,3080.3326802551746
"r_person[13,time]",-0.06576858084320014,-0.06966818814857367,0.2518552569650388,0.24780710242702034,-0.47357418924216377,0.35509225628882257,1.0005157532094382,2535.3212637242914,3051.25795729457
"r_person[14,time]",-0.1227210141313773,-0.11824850812974669,0.30845353309984813,0.2946391247679042,-0.6404348551680794,0.3790699290889175,1.0019794582159884,3453.0660481956334,2553.3537274918535
lprior,-10.245047960776049,-10.24238288011993,0.11092377445826974,0.10686209060659035,-10.430052024545239,-10.067321524897844,1.0030205414842375,1034.7486236797988,1513.1093760298295
lp__,-32630.818506942946,-32630.40166721252,8.714903892381896,8.638129616258835,-32645.887545308382,-32617.290869142606,1.0036156484843057,766.2081312050251,1626.1113693282562
