time_bin50,ppt.no,type,cond,wo,item,sol,ppt_ids,agent.sum,pat.sum,N,person,sentence_type,active_voice,time_rel,time,log.agent,wts.agent
0,4,act,A,APV,19,2009,IMI_b1,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,A,APV,20,3611,IMI_a3,0,49,49,4,act,1,0,0,-4.59511985013459,2.0202020202020203
0,4,act,A,APV,21,1736,IMI_b2,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,A,APV,22,3556,IMI_b1,0,49,49,4,act,1,0,0,-4.59511985013459,2.0202020202020203
0,4,act,A,AVP,2,3772,IMI_a3,0,49,49,4,act,1,0,0,-4.59511985013459,2.0202020202020203
0,4,act,A,AVP,11,2508,IMI_a3,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,A,PV,3,2267,IMI_b2,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,A,PV,6,1736,IMI_b2,0,49,49,4,act,1,0,0,-4.59511985013459,2.0202020202020203
0,4,act,A,PV,9,2395,IMI_b2,0,49,49,4,act,1,0,0,-4.59511985013459,2.0202020202020203
0,4,act,A,PV,24,2143,IMI_b2,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,P,APV,3,1954,IMI_a3,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,P,APV,6,2257,IMI_a3,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,P,APV,7,3440,IMI_b2,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,P,APV,9,2328,IMI_a3,0,49,49,4,act,1,0,0,-4.59511985013459,2.0202020202020203
0,4,act,P,APV,12,4011,IMI_a3,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,P,APV,13,1924,IMI_b2,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,P,APV,16,2647,IMI_b2,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,none,APV,1,2445,IMI_a3,0,49,49,4,act,1,0,0,-4.59511985013459,2.0202020202020203
0,4,act,none,APV,2,3069,IMI_b2,0,49,49,4,act,1,0,0,-4.59511985013459,2.0202020202020203
0,4,act,none,APV,3,2681,IMI_b1,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,none,APV,4,3636,IMI_a3,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,none,APV,5,2144,IMI_b2,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,none,APV,6,3592,IMI_b1,16,33,49,4,act,1,0,0,-0.7081850579244858,0.09045680687471733
0,4,act,none,APV,7,3022,IMI_a3,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,none,APV,8,2721,IMI_b2,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,none,APV,9,2764,IMI_b1,9,40,49,4,act,1,0,0,-1.4500101755059984,0.1299545159194282
0,4,act,none,APV,10,4311,IMI_a3,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,none,APV,12,4349,IMI_b1,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,none,APV,13,3495,IMI_a3,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,none,APV,14,1759,IMI_b2,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,none,APV,15,3813,IMI_b1,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,none,APV,17,2180,IMI_b2,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,none,APV,18,3750,IMI_b1,0,49,49,4,act,1,0,0,-4.59511985013459,2.0202020202020203
0,4,act,none,APV,19,3270,IMI_a3,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,none,APV,20,2640,IMI_b2,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,none,APV,21,3892,IMI_b1,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,none,APV,22,1780,IMI_a3,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,none,APV,23,2984,IMI_b2,49,0,49,4,act,1,0,0,4.59511985013459,2.0202020202020203
0,4,act,none,APV,24,4512,IMI_b1,0,49,49,4,act,1,0,0,-4.59511985013459,2.0202020202020203
0,4,pass,P,A-PAV,5,3747,IMI_b1,49,0,49,4,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,4,pass,P,AV,1,1714,IMI_b2,49,0,49,4,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,4,pass,P,AV,10,2036,IMI_b2,49,0,49,4,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,4,pass,P,AV,22,2684,IMI_b2,49,0,49,4,pass,-1,0,0,4.59511985013459,2.0202020202020203
0,4,pass,P,PAV,2,2851,IMI_b1,1,48,49,4,pass,-1,0,0,-3.4760986898352733,0.6872852233676976
