participant,image,sentence_type,condition_key,condition,agent_num,patient_num,patient_animacy,rt,matched_accuracy,matched_by,vf_acc,vn_acc,pn_acc,is_error_form,error_fields,excluded_from_graphs
К01,tie-1-2-l.png,direct,animate,animate patient,1,2,animate,1154.000000,yes,participant_image,1,1,1,no,,no
К01,boil-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,2225.000000,yes,participant_image,1,1,1,no,,no
К01,shoot-2-2-r.png,inverse,animate,animate patient,2,2,animate,1503.000000,yes,participant_image,1,1,1,no,,no
К01,hang-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,1917.000000,yes,participant_image,1,1,1,no,,no
К01,treat-2-1-l.png,inverse,animate,animate patient,2,1,animate,3321.000000,yes,participant_image,1,1,1,no,,no
К01,hit-1-2-l.png,direct,animate,animate patient,1,2,animate,1396.000000,yes,participant_image,1,1,1,no,,no
К01,saw-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,2361.000000,yes,participant_image,1,1,1,no,,no
К01,break-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,1245.000000,yes,participant_image,1,1,1,no,,no
К01,push-1-1-r.png,direct,animate,animate patient,1,1,animate,1475.000000,yes,participant_image,1,1,1,no,,no
К01,eat-2-2-r.png,inverse,inanimate,inanimate patient,2,2,inanimate,1908.000000,yes,participant_image,1,1,1,no,,no
К01,pour-2-1-l.png,inverse,animate,animate patient,2,1,animate,1936.000000,yes,participant_image,1,1,1,no,,no
К01,pick-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,1126.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К01,tie-2-2-r.png,inverse,animate,animate patient,2,2,animate,2397.000000,yes,participant_image,1,1,1,no,,no
К01,carry-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,2850.000000,yes,participant_image,1,1,1,no,,no
К01,call-1-2-l.png,direct,animate,animate patient,1,2,animate,3003.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К01,clean-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,2113.000000,yes,participant_image,1,1,1,no,,no
К01,feed-1-1-r.png,direct,animate,animate patient,1,1,animate,1634.000000,yes,participant_image,1,1,1,no,,no
К01,water-2-2-r.png,inverse,inanimate,inanimate patient,2,2,inanimate,1177.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К01,wake-2-1-l.png,inverse,animate,animate patient,2,1,animate,2581.000000,yes,participant_image,1,1,1,no,,no
К01,plant-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,2357.000000,yes,participant_image,1,1,1,no,,no
К01,makelaugh-2-2-r.png,inverse,animate,animate patient,2,2,animate,2209.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К01,hang-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,2060.000000,yes,participant_image,1,1,1,no,,no
К01,dress-1-1-r.png,direct,animate,animate patient,1,1,animate,1686.000000,yes,participant_image,1,1,1,no,,no
К01,pull-2-2-r.png,inverse,inanimate,inanimate patient,2,2,inanimate,1143.000000,yes,participant_image,1,1,1,no,,no
К01,cut_hair-2-1-l.png,inverse,animate,animate patient,2,1,animate,1105.000000,yes,participant_image,1,1,1,no,,no
К01,burn-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,2898.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К01,wash-2-2-r.png,inverse,animate,animate patient,2,2,animate,1511.000000,yes,participant_image,1,1,1,no,,no
К01,saw-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,2198.000000,yes,participant_image,1,1,1,no,,no
К01,shoot-1-2-l.png,direct,animate,animate patient,1,2,animate,1506.000000,yes,participant_image,1,1,1,no,,no
К01,open-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,1561.000000,yes,participant_image,1,1,1,no,,no
К01,treat-1-1-r.png,direct,animate,animate patient,1,1,animate,1801.000000,yes,participant_image,1,1,1,no,,no
К01,throw-2-2-r.png,inverse,inanimate,inanimate patient,2,2,inanimate,2264.000000,yes,participant_image,1,1,1,no,,no
К01,scold-2-1-l.png,inverse,animate,animate patient,2,1,animate,1360.000000,yes,participant_image,1,1,1,no,,no
К01,paint-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,1239.000000,yes,participant_image,1,1,1,no,,no
К03,call-1-1-r.png,direct,animate,animate patient,1,1,animate,2237.000000,yes,participant_image,1,1,1,no,,no
К03,feed-1-2-l.png,direct,animate,animate patient,1,2,animate,3479.000000,yes,participant_image,1,1,1,no,,no
К03,eat-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,2511.000000,yes,participant_image,1,1,1,no,,no
К03,pick-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,1615.000000,yes,participant_image,1,1,1,no,,no
К03,makelaugh-2-1-l.png,inverse,animate,animate patient,2,1,animate,4121.000000,yes,participant_image,1,1,1,no,,no
К03,carry-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,2685.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К03,open-2-2-r.png,inverse,inanimate,inanimate patient,1,1,inanimate,2520.000000,yes,participant_image,1,1,1,no,,no
К03,dress-1-2-l.png,direct,animate,animate patient,1,2,animate,3123.000000,yes,participant_image,1,0,1,yes,vn_acc,yes
К03,cut_hair-2-2-r.png,inverse,animate,animate patient,2,2,animate,1714.000000,yes,participant_image,1,1,1,no,,no
К03,cover-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,4668.000000,yes,participant_image,1,1,1,no,,no
К03,wash-2-1-l.png,inverse,animate,animate patient,2,1,animate,2592.000000,yes,participant_image,1,1,1,no,,no
К03,paint-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,3612.000000,yes,participant_image,1,1,1,no,,no
К03,give_water-1-1-r.png,direct,animate,animate patient,1,1,animate,2857.000000,yes,participant_image,1,1,1,no,,no
К03,clean-2-2-r.png,inverse,inanimate,inanimate patient,2,2,inanimate,2996.000000,yes,participant_image,1,1,1,no,,no
К03,water-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,2358.000000,yes,participant_image,1,1,1,no,,no
К03,pour-2-2-r.png,inverse,animate,animate patient,2,2,animate,3021.000000,yes,participant_image,1,1,1,no,,no
К03,tie-2-1-l.png,inverse,animate,animate patient,1,2,animate,3088.000000,yes,participant_image,1,1,1,no,,no
К03,boil-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,3205.000000,yes,participant_image,1,1,1,no,,no
К03,shoot-1-1-r.png,direct,animate,animate patient,2,2,animate,1909.000000,yes,participant_image,NA,1,1,no,,no
К03,hang-2-2-r.png,inverse,inanimate,inanimate patient,2,2,inanimate,3872.000000,yes,participant_image,1,1,1,no,,no
К03,treat-1-2-l.png,direct,animate,animate patient,1,2,animate,2384.000000,yes,participant_image,1,1,1,no,,no
К03,pull-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,2747.000000,yes,participant_image,1,1,1,no,,no
К03,scold-2-2-r.png,inverse,animate,animate patient,2,2,animate,2232.000000,yes,participant_image,1,1,1,no,,no
К03,burn-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,3065.000000,yes,participant_image,1,1,1,no,,no
К03,hit-2-1-l.png,inverse,animate,animate patient,2,1,animate,2290.000000,yes,participant_image,1,1,1,no,,no
К03,give_water-2-1-l.png,inverse,animate,animate patient,2,1,animate,5903.000000,yes,participant_image,1,1,1,no,,no
К03,eat-1-1-r.png,direct,inanimate,inanimate patient,2,1,inanimate,2662.000000,yes,participant_image,1,1,1,no,,no
К03,pour-1-2-l.png,direct,animate,animate patient,1,2,animate,2227.000000,yes,participant_image,1,1,1,no,,no
К03,pick-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,1678.000000,yes,participant_image,1,NA,1,no,,no
К03,tie-1-1-r.png,direct,animate,animate patient,1,1,animate,1515.000000,yes,participant_image,1,1,1,no,,no
К03,carry-2-2-r.png,inverse,inanimate,inanimate patient,2,2,inanimate,1988.000000,yes,participant_image,1,1,1,no,,no
К03,call-2-1-l.png,inverse,animate,animate patient,2,1,animate,2126.000000,yes,participant_image,1,1,1,no,,no
К03,clean-1-2-l.png,direct,inanimate,inanimate patient,2,2,inanimate,1414.000000,yes,participant_image,NA,0,1,yes,vn_acc,yes
К03,water-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,1435.000000,yes,participant_image,1,1,1,no,,no
К03,wake-1-2-l.png,direct,animate,animate patient,1,2,animate,2323.000000,yes,participant_image,1,1,1,no,,no
К03,plant-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,1345.000000,yes,participant_image,1,1,1,no,,no
К03,makelaugh-1-1-r.png,direct,animate,animate patient,1,1,animate,2620.000000,yes,participant_image,1,1,1,no,,no
К03,teach-2-1-l.png,inverse,animate,animate patient,2,1,animate,1939.000000,yes,participant_image,1,1,1,no,,no
К03,hang-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,2254.000000,yes,participant_image,1,1,1,no,,no
К03,pull-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,1291.000000,yes,participant_image,1,1,1,no,,no
К03,cut_hair-1-2-l.png,direct,animate,animate patient,1,2,animate,2002.000000,yes,participant_image,1,1,1,no,,no
К03,burn-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,2738.000000,yes,participant_image,1,1,0,yes,pn_acc,yes
К03,wash-1-1-r.png,direct,animate,animate patient,2,1,animate,1637.000000,yes,participant_image,1,1,1,no,,no
К03,saw-2-2-r.png,inverse,inanimate,inanimate patient,2,2,inanimate,2382.000000,yes,participant_image,1,1,1,no,,no
К03,shoot-2-1-l.png,inverse,animate,animate patient,2,1,animate,2566.000000,yes,participant_image,1,1,1,no,,no
К03,open-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,2008.000000,yes,participant_image,1,1,1,no,,no
К03,treat-2-2-r.png,inverse,animate,animate patient,2,2,animate,3587.000000,yes,participant_image,1,1,1,no,,no
К03,cover-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,4612.000000,yes,participant_image,1,1,1,no,,no
К03,hit-1-1-r.png,direct,animate,animate patient,1,1,animate,1561.000000,yes,participant_image,1,1,1,no,,no
К03,call-2-2-r.png,inverse,animate,animate patient,2,2,animate,3282.000000,yes,participant_image,1,1,1,no,,no
К03,break-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,2134.000000,yes,participant_image,1,1,1,no,,no
К03,feed-2-1-l.png,inverse,animate,animate patient,2,1,animate,2723.000000,yes,participant_image,1,1,1,no,,no
К03,eat-1-2-l.png,direct,inanimate,inanimate patient,1,2,inanimate,2901.000000,yes,participant_image,1,1,1,no,,no
К03,wake-1-1-r.png,direct,animate,animate patient,1,1,animate,2248.000000,yes,participant_image,1,1,1,no,,no
К03,pick-2-2-r.png,inverse,inanimate,inanimate patient,2,2,inanimate,1787.000000,yes,participant_image,1,1,1,no,,no
К03,makelaugh-1-2-l.png,direct,animate,animate patient,1,2,animate,2917.000000,yes,participant_image,1,1,1,no,,no
К03,carry-2-1-l.png,inverse,inanimate,inanimate patient,2,1,inanimate,2143.000000,yes,participant_image,1,1,1,no,,no
К03,teach-2-2-r.png,inverse,animate,animate patient,2,2,animate,4072.000000,yes,participant_image,1,1,1,no,,no
К03,open-1-1-r.png,direct,inanimate,inanimate patient,1,1,inanimate,2141.000000,yes,participant_image,1,1,1,no,,no
К03,dress-2-1-l.png,inverse,animate,animate patient,2,1,animate,2500.000000,yes,participant_image,1,1,1,no,,no
К03,cut_hair-1-1-r.png,direct,animate,animate patient,1,1,animate,1832.000000,yes,participant_image,1,1,1,no,,no
