participant's id,list,number,trial_num,image,ans,agens,patiens,age,cond,agens_gender,patiens_gender,agens_num,patiens_num,patiens_animacy,practice,translation,transcription,reaction time,fluency,sentence type,word order,comments,
К24,2,44,9,call-1-2-l.png,call-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",old,0,m,f,1,2,1,0,Дедушка зовет двух бабушек ,Апапонак кэйн'ив'н'ынын эльг'ат,16865,yes,direct,AVP,,
К24,2,45,10,clean-2-1-l.png,clean-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",old,1,m,n,2,1,0,0,Два дедушки чистят пальто ,Апапойык пальтон накучистиньнин,7713,yes,inverse,APV,,
К24,2,46,11,feed-1-1-r.png,feed-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",old,0,f,m,1,1,1,0,Бабушка кормит дедушку,Эльг'ата куквайг'ын'нын к'лавол,3284,yes,direct,AVP,,
К24,2,47,12,water-2-2-r.png,water-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",child,1,f,n,2,2,0,0,Две девочки поливают два цветка ,Эльг'айык накумлыт..накимлытг'ын'нит мэчг'ат,6105,pause; false start,inverse,AVP,,
К24,2,48,13,wake-2-1-l.png,wake-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",adult,1,m,f,2,1,1,0,Два мужчины будят женщину ,Г’оячекейык на..нэкуныкъевын'нин  эльг'а,4945,false start,inverse,AVP,,
К24,2,49,14,plant-1-2-l.png,plant-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",adult,0,m,n,1,2,0,0,Мужчина сажает два дерева ,"Г’оячекенак мэчг'ат кунмэйн'эвн,ын'нин",18772,yes,direct,APV,,
К24,2,50,15,makelaugh-2-2-r.png,makelaugh-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",old,1,m,f,2,2,1,0,Два дедушки смешат двух бабушек,ПРОПУСК,-,-,-,-,,
К24,2,51,16,boil-1-1-r.png,boil-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",adult,0,f,n,1,1,0,0,Женщина варит курицу,Эльг'ата копаньн'ынын курица,20265,yes,direct,AVP,,
К24,2,52,17,teach-1-2-l.png,teach-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",adult,0,m,f,1,2,1,0,Мужчина учит двух женщин ,ПРОПУСК,-,-,-,-,,
К24,2,53,18,hang-2-1-l.png,hang-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",old,1,m,n,2,1,0,0,Два дедушки вешают картину,ПРОПУСК,-,-,-,-,,
К24,2,54,19,dress-1-1-r.png,dress-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",old,0,m,f,1,1,1,0,Дедушка одевает бабушку,"К'лавола.. к'лавол кув'иннетын, пальтойпык эльг,анан,",7332,pause; false start,other,AAVVP,,
К24,2,55,20,pull-2-2-r.png,pull-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",child,1,f,n,2,2,0,0,Две девочки везут двое санок ,Эльг'айык уетыкпэляк'ыт накуг'аг'ан'ыныт,27709,yes,inverse,APV,,
К24,2,56,21,cut_hair-2-1-l.png,cut_hair-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",child,1,f,m,2,1,1,0,Две девочки стригут мальчика,ПРОПУСК,-,-,-,-,,
К24,2,57,22,burn-1-2-l.png,burn-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",old,0,f,n,1,2,0,0,Бабушка сжигает две книги,"Чачамйа кукэнгэв'ын'ныт каликал.. а, калит!",6500,false start,direct,AVPP,,
К24,2,58,23,wash-2-2-r.png,wash-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",old,1,m,f,2,2,1,0,Два дедушки моют двух бабушек,К'лаволайык наконмыткын'нав' эльг'ав',16245,yes,inverse,AVP,,
К24,2,59,24,saw-1-1-r.png,saw-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",adult,0,m,n,1,1,0,0,Мужчина пилит бревно,Г’оячека кургуньнынэт..кучг'ынин уттыт,24923,yes,direct,AVVP,,
К24,2,60,25,shoot-1-2-l.png,shoot-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",child,0,f,m,1,2,1,0,Девочка стреляет в двух мальчиков ,Эльг'апэляка йитта кулк'эйнэвын'нин г’оячекпэлякат,6283,yes,direct,AXVP,,
К24,2,61,26,open-2-1-l.png,open-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",old,1,f,n,2,1,0,0,Две бабушки открывают дверь,Чачамйа... тыллытыл нэкунв'эн'эньнин,5443,pause,inverse,APV,,
К24,2,62,27,treat-1-1-r.png,treat-1-1-r.wav,"(970.0,100.0)","(40.0,100.0)",adult,0,f,m,1,1,1,0,Женщина лечит мужчину ,Эльг'ата куенмэлэв'ын'нин г'оячек,5866,yes,direct,AVP,,
К24,2,63,28,throw-2-2-r.png,throw-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",child,1,f,n,2,2,0,0,Две девочки бросают два мяча,"Эльг'айык гэнин,лылин... гэнин,лылинэт к,аплыт",14583,false start,past,AVP,,
К24,2,64,29,scold-2-1-l.png,scold-2-1-l.wav,"(40.0,100.0)","(970.0,100.0)",child,1,m,f,2,1,1,0,Два мальчика ругают девочку,Г’оячекпэляк'а наку....накокытг'айн'ан'нэн эльг'апэль,7981,pause; false start,inverse,AVP,,
К24,2,65,30,cover-1-2-l.png,cover-1-2-l.wav,"(40.0,100.0)","(970.0,100.0)",adult,0,m,n,1,2,0,0,Мужчина накрывает два цветка ,ПРОПУСК,-,-,-,-,,
К24,2,66,31,hit-2-2-r.png,hit-2-2-r.wav,"(970.0,100.0)","(40.0,100.0)",child,1,m,f,2,2,1,0,Два мальчика бьют двух девочек,ПРОПУСК,-,-,-,-,,
